sample_id,true_class,predicted_class,confidence,probability_vector
0,negative,negative,0.99919,"{""negative"": 0.99919, ""positive"": 0.00081}"
1,negative,negative,0.983377,"{""negative"": 0.983377, ""positive"": 0.016623}"
2,negative,negative,0.792032,"{""negative"": 0.792032, ""positive"": 0.207968}"
3,negative,negative,0.998904,"{""negative"": 0.998904, ""positive"": 0.001096}"
4,negative,positive,0.999997,"{""negative"": 3e-06, ""positive"": 0.999997}"
5,negative,negative,0.997924,"{""negative"": 0.997924, ""positive"": 0.002076}"
6,negative,negative,0.999774,"{""negative"": 0.999774, ""positive"": 0.000226}"
7,negative,negative,0.91437,"{""negative"": 0.91437, ""positive"": 0.08563}"
8,negative,negative,0.846724,"{""negative"": 0.846724, ""positive"": 0.153276}"
9,negative,negative,0.998693,"{""negative"": 0.998693, ""positive"": 0.001307}"
10,negative,negative,0.9962,"{""negative"": 0.9962, ""positive"": 0.0038}"
11,negative,negative,0.735421,"{""negative"": 0.735421, ""positive"": 0.264579}"
12,negative,negative,0.994246,"{""negative"": 0.994246, ""positive"": 0.005754}"
13,negative,positive,0.998134,"{""negative"": 0.001866, ""positive"": 0.998134}"
14,negative,negative,0.95717,"{""negative"": 0.95717, ""positive"": 0.04283}"
15,negative,positive,0.999347,"{""negative"": 0.000653, ""positive"": 0.999347}"
16,negative,positive,0.997481,"{""negative"": 0.002519, ""positive"": 0.997481}"
17,negative,negative,0.952224,"{""negative"": 0.952224, ""positive"": 0.047776}"
18,negative,positive,0.590004,"{""negative"": 0.409996, ""positive"": 0.590004}"
19,negative,positive,0.944527,"{""negative"": 0.055473, ""positive"": 0.944527}"
20,negative,negative,0.996532,"{""negative"": 0.996532, ""positive"": 0.003468}"
21,negative,negative,0.996288,"{""negative"": 0.996288, ""positive"": 0.003712}"
22,negative,positive,0.999761,"{""negative"": 0.000239, ""positive"": 0.999761}"
23,negative,negative,0.999303,"{""negative"": 0.999303, ""positive"": 0.000697}"
24,negative,negative,0.998024,"{""negative"": 0.998024, ""positive"": 0.001976}"
25,negative,negative,0.937995,"{""negative"": 0.937995, ""positive"": 0.062005}"
26,negative,positive,0.998453,"{""negative"": 0.001547, ""positive"": 0.998453}"
27,negative,negative,0.986859,"{""negative"": 0.986859, ""positive"": 0.013141}"
28,negative,positive,0.941232,"{""negative"": 0.058768, ""positive"": 0.941232}"
29,negative,negative,0.996292,"{""negative"": 0.996292, ""positive"": 0.003708}"
